ID	City	Total trips	From Wuhan	To Wuhan	Population (million)
1	Xiaogan	9646286	5333682	4312604	4.90
2	Huanggang	7786732	4436928	3349804	6.32
3	Xianning	3987334	2149524	1837810	2.53
4	Beijing	3921153	1956195	1964958	1.07
5	Ezhou	3858883	1508938	2349945	21.73
6	Jingzhou	3439123	2216479	1222644	5.70
7	Xiangyang	3160473	1959413	1201060	5.64
8	Huangshi	2787922	1521685	1266237	2.47
9	Guangzhou	2555286	705205	1850081	14.04
10	Yichang	2266974	1420349	846625	4.13
11	Shenzhen	1675478	188316	1487162	11.91
12	Suizhou	1536742	934564	602178	2.20
13	Xiantao	1492596	856578	636018	1.15
14	Shiyan	1252190	897666	354524	3.41
15	Chongqing	1177096	720442	456654	30.48
16	Enshi	869910	610937	258973	4.56
17	Tianmen	716794	447408	269386	1.29
18	Changsha	644273	318784	325489	7.65
19	Shanghai	571458	72150	499308	24.20
20	Xinyang	564841	338180	226661	6.44
21	Qianjiang	489747	288200	201547	0.96
22	Jingmen	408465	269703	138762	2.90
23	Yueyang	352512	185672	166840	5.68
24	Zhumadian	316181	214425	101756	6.99
25	Nanchang	301903	123239	178664	5.37
26	Jiujiang	229539	106873	122666	4.85
27	Baoding	205124	126334	78790	11.63
28	Nanyang	173653	127666	45987	10.07
29	Luohe	155591	32443	123148	7.29
30	Hengyang	153337	103153	50184	2.64
31	Sanya	151726	29147	122579	0.75
32	Dazhou	121669	33825	87844	1.29
33	Lijiang	120983	120983	0	5.60
34	Qingyuan	117242	53698	63544	4.77
35	Luan	116218	35704	80514	3.85
36	Chengdu	113938	50532	63406	15.92
37	Kunming	108452	46613	61839	6.73
38	Guilin	102565	18274	84291	4.71
39	Shijiazhuang	100723	92078	8645	5.01
40	Shengzhou	94847	11483	83364	2.96
41	Shaoguan	93102	70128	22974	10.78
42	Ankang	81065	81065	0	2.66
43	Xinxiang	73246	54707	18539	5.74
44	Shennongjia	66818	37240	29578	0.08
45	Suining	64847	43223	21624	3.30
46	Shenyang	64774	30848	33926	2.24
47	Haikou	64258	33663	30595	8.29
48	Hanzhong	58082	58074	8	3.45
49	Anyang	57825	38146	19679	5.13
50	Liuzhou	57672	44125	13547	8.26
51	Handan	56640	43180	13460	3.96
52	Dongguan	53890	27321	26569	4.02
53	Fuzhou	52175	42872	9303	9.49
54	Zhuzhou	50264	11069	39195	7.57
55	NanNing	48697	36007	12690	2.55
56	Xuchang	47505	33242	14263	7.06
57	Sanming	44627	33727	10900	7.32
58	Xingtai	44397	41839	2558	4.38
59	Anqing	41590	17398	24192	4.61
60	Yongzhou	40710	17524	23186	3.56
61	Xiamen	40530	40530	0	5.47
62	Dali	40039	14993	25046	3.92
63	Nanchong	36803	21919	14884	9.20
64	Qingdao	33778	33764	14	6.40
65	Pingdingshan	30833	25945	4888	4.98
66	Tieling	30807	13535	17272	2.65
67	Putian	30488	21972	8516	2.89
68	Zhuhai	30263	20698	9565	1.68
69	Jiaozuo	29609	15634	13975	9.18
70	Wenzhou	26455	26445	10	3.55
71	Guangan	25597	24288	1309	3.26
72	Nantong	22577	7753	14824	7.30
73	Langfang	22283	7879	14404	2.84
74	Suzhou	21900	7301	14599	4.62
75	Huludao	21343	12018	9325	15.62
76	Zhenjiang	21092	17499	3593	3.18
77	Jincheng	20366	0	20366	10.65
78	Tianjin	19114	18044	1070	2.55
79	Xiangtan	18326	18318	8	2.32
80	Shangluo	17782	3610	14172	3.20
81	Siping	17190	6147	11043	6.99
82	Zhongshan	17181	14989	2192	3.23
83	Dalian	17033	16740	293	2.37
84	Beihai	16142	6120	10022	1.64
85	Changzhi	14729	14729	0	3.44
86	Bazhong	14705	14705	0	3.31
87	Hebi	14173	9224	4949	1.61
88	Urumqi	11767	6146	5621	1.17
89	Hong Kong	11453	5823	5630	7.45
90	Zhoukou	11066	11066	0	8.82
91	Xishuangbanna	10893	10058	835	3.52
92	Weinan	10110	5991	4119	10.98
93	Harbin	9964	5272	4692	7.88
94	Panjin	9743	9743	0	5.37
95	Changchun	9379	6040	3339	7.51
96	Ningbo	9200	8652	548	2.20
97	Laibin	9130	8398	732	1.44
98	Yuxi	8616	2506	6110	2.64
99	City of Yantai	8223	4390	3833	7.06
100	Xiangxi	7895	5513	2382	2.38
101	Tangshan	7604	7152	452	7.84
102	Hangzhou	7477	1792	5685	0.36
103	Nanping	7414	5460	1954	2.33
104	Liyang	7291	7291	0	3.63
105	Xining	7274	7274	0	2.04
106	Zigong	7112	797	6315	9.19
107	Hezhou	7053	3854	3199	2.66
108	Lingshui	6789	3364	3425	2.08
109	Fushun	6761	6761	0	4.71
110	Yinchuan	6705	6681	24	2.78
111	Jinzhou	6576	5816	760	2.07
112	Chengde	6335	3781	2554	2.62
113	Yangzhou	6269	2362	3907	6.08
114	Taizhou	6131	4946	1185	5.84
115	Puer	6034	5919	115	3.06
116	Changzhou	5937	5786	151	3.53
117	Yangquan	5840	5840	0	4.49
118	Qujing	5396	5041	355	6.08
119	Anshan	5313	5269	44	1.40
120	Changde	5308	4044	1264	3.61
121	Jian	5183	3207	1976	4.70
122	Zhangjiajie	5157	4112	1045	1.53
123	Quanzhou	5127	1705	3422	8.58
124	Wuwei	5126	0	5126	4.92
125	Liaoyang	4965	4679	286	1.82
126	Ledong	4807	3014	1793	0.53
127	Guiyang	4554	4255	299	1.84
128	Qinhuangdao	4550	4439	111	4.54
129	Jiangmen	4154	2226	1928	3.71
130	Ziyang	4147	3883	264	3.09
131	Diqing	3971	3933	38	2.54
132	Neijiang	3971	1916	2055	1.65
133	Panzhihua	3933	1123	2810	0.41
134	Shengzhou	3871	1134	2737	0.96
135	LanZhou	3645	1735	1910	1.29
136	Foshan	3536	2197	1339	1.24
137	Zhangjiang	3526	3493	33	3.75
138	Baoshan	3422	3157	265	7.46
139	Dandong	3377	1426	1951	7.27
140	Deyang	3287	1321	1966	0.51
141	Shengzhou	3278	2905	373	3.09
142	Qionghai	3155	2974	181	4.31
143	Jingdezhen	3136	2165	971	2.41
144	Chuxiong	3135	2962	173	3.52
145	Dehong	3114	1767	1347	2.61
146	Hohhot	2967	1486	1481	0.93
147	Zunyi	2966	2419	547	2.74
148	Datong	2881	1914	967	3.42
149	Fangchenggang	2775	1544	1231	6.23
150	Baotou	2464	1031	1433	4.24
151	Chengmai County	2421	1062	1359	1.45
152	Benxi	2378	1947	431	2.86
153	Liupanshui	2301	905	1396	0.59
154	Daqing	2226	959	1267	1.38
155	Haidong	2166	1886	280	1.71
156	Jilin	2087	1124	963	0.56
157	Huangshan	2086	589	1497	2.91
158	Wenchang	2085	1349	736	0.52
159	Honghe	2062	715	1347	2.76
160	Fuzhou	2031	1014	1017	0.48
161	Zhangjiakou	1960	1262	698	4.68
162	Yiyang	1901	927	974	2.52
163	Bozhou	1855	790	1065	7.24
164	Lingao County	1847	786	1061	5.58
165	Dongying	1846	0	1846	4.00
166	Dongfang	1845	1743	102	4.43
167	Yancheng	1820	1365	455	4.43
168	Huizhou	1794	1624	170	2.13
169	Shan Tou	1792	749	1043	2.17
170	Weihai	1765	940	825	6.09
171	Jieyang	1759	894	865	0.44
172	Wanning	1745	1694	51	4.78
173	Jiyuan	1744	677	1067	2.82
174	Lincang	1741	792	949	0.57
175	Tonghua	1555	1461	94	0.73
176	Xinyu	1535	508	1027	2.63
177	Longyan	1535	953	582	0.23
178	Changjiang	1474	796	678	1.16
179	Baishan	1471	0	1471	1.17
180	Qianxinan	1448	260	1188	0.20
181	Zhoushan	1372	930	442	9.36
182	Changji	1371	514	857	2.84
183	Nyingchi	1347	674	673	1.20
184	Chongzuo	1326	744	582	1.60
185	Weifang	1203	777	426	2.07
186	Hotan	1181	369	812	0.68
187	Linfen	1168	460	708	0.17
188	Qitaihe	1146	671	475	2.14
189	Baoting	1118	793	325	4.46
190	Fuxin	1090	489	601	0.27
191	Changdu	1087	569	518	0.87
192	Tunchang County	1065	823	242	1.78
193	Tongren	980	335	645	5.05
194	Matsubara	967	461	506	5.76
195	Dingan County	945	802	143	0.60
196	Zhangzhou	930	330	600	2.78
197	Yulin	923	553	370	1.84
198	Qinzhou	902	491	411	3.24
199	Haibei	900	577	323	0.28
200	Shihezi	893	893	0	3.14
201	Karamay	882	494	388	0.29
202	Wuzhishan	824	446	378	0.62
203	Chaoyang	806	429	377	0.11
204	Altay	779	192	587	1.18
205	Baise	760	392	368	0.42
206	Aral	750	704	46	2.95
207	Ganzi	722	402	320	3.62
208	Wuzhong	720	377	343	0.54
209	Jixi	711	365	346	0.33
210	Shizuishan	705	481	224	1.35
211	Nujiang	705	429	276	1.39
212	Yingkou	704	348	356	2.44
213	Shuangyashan	690	446	244	2.89
214	Ordos	672	481	191	0.80
215	Ningde	630	458	172	2.06
216	Haixi	629	458	171	1.00
